poke,teammate,val
Eevee,Charizard,-0.038916285714285716
Eevee,Exeggutor,-0.3423645285714286
Eevee,Snorlax,-0.3654679571428572
Eevee,Lapras,-0.09354681428571429
Eevee,Ditto,0.01615762857142857
Eevee,Electrode,-0.007044371428571429
Eevee,Vaporeon,0.09704431428571429
Eevee,Flareon,0.10270931428571428
Eevee,Alakazam,-0.2901478
Eevee,Goldeen,0.02832512857142857
Eevee,Gengar,-0.12793100000000004
Eevee,Cloyster,0.08832509999999999
Eevee,Farfetch'd,0.08364528571428571
Eevee,Ninetales,0.14837437142857143
Eevee,Golem,-0.17605907142857144
Eevee,Dragonite,-0.09142854285714286
Eevee,Machamp,0.029310357142857145
Eevee,Raticate,0.05305415714285714
Eevee,Krabby,0.028029528571428573
Eevee,Golbat,0.025763528571428572
Eevee,Squirtle,0.02472902857142857
Eevee,Kabuto,0.02837442857142857
Eevee,Magmar,0.10985221428571429
Eevee,Wartortle,0.05586205714285714
Eevee,Charmander,0.02738912857142857
Eevee,Marowak,0.02152712857142857
Eevee,Venusaur,0.1369950285714286
Eevee,Ivysaur,0.02704432857142857
Eevee,Meowth,0.027487728571428574
Eevee,Raichu,-0.038472871428571434
Eevee,Pikachu,0.08625611428571428
Eevee,Pidgeotto,0.08453198571428572
Eevee,Ekans,0.02832512857142857
Eevee,Graveler,0.02699502857142857
Eevee,Jolteon,0.006650199999999984
Eevee,Pidgeot,0.06019708571428572
Eevee,Slowbro,-0.1166502714285714
Eevee,Zapdos,-0.17596061428571425
Eevee,Nidoking,0.015467957142857142
Eevee,Gyarados,-0.01842367142857143
Eevee,Nidoqueen,0.01527092857142857
Eevee,Sandslash,0.16399017142857142
Eevee,Blastoise,-0.007832542857142855
Eevee,Poliwrath,0.01142852857142857
Eevee,Butterfree,0.049802957142857145
Eevee,Rhydon,-0.08960588571428572
Eevee,Pidgey,0.05689655714285714
Eevee,Golduck,0.10729061428571428
Eevee,empty,0.0
Eevee,Arcanine,0.012463057142857142
Eevee,Rattata,0.08507388571428572
Eevee,Venomoth,0.023743828571428573
Eevee,Tauros,-0.46990147142857136
Eevee,Exeggcute,0.02807882857142857
Exeggutor,Eevee,-0.0010777048306090768
Exeggutor,Charizard,-0.10571775198612
Exeggutor,Ninetales,-0.008352346288010223
Exeggutor,Arbok,-0.00347460829148023
Exeggutor,Rhyhorn,-0.0004444889690439228
Exeggutor,Primeape,-0.0038398717377408453
Exeggutor,Ditto,-0.007756691060177151
Exeggutor,Tangela,-0.002530235184001461
Exeggutor,Dewgong,-0.0024870303533923847
Exeggutor,Pikachu,-0.02200275313669985
Exeggutor,Hitmonchan,-0.00322830829148023
Exeggutor,Vileplume,-0.004795146214957538
Exeggutor,Venomoth,-0.004644968276869693
Exeggutor,Cloyster,-0.025655358405625068
Exeggutor,Scyther,-0.008541324153045385
Exeggutor,Aerodactyl,-0.01446694210574377
Exeggutor,Moltres,-0.01600122624417862
Exeggutor,Jynx,0.028489503953976814
Exeggutor,Dragonite,-0.07707108039448451
Exeggutor,Sandslash,-0.00415102898365446
Exeggutor,Wigglytuff,-0.006190003460871153
Exeggutor,Graveler,-0.001485084138434846
Exeggutor,Zubat,-0.0002534841384348461
Exeggutor,Bulbasaur,-0.004637784138434846
Exeggutor,Dodrio,-0.013246193151310386
Exeggutor,Squirtle,-0.0037510841384348465
Exeggutor,Pinsir,-0.002817462076522691
Exeggutor,Magikarp,-0.0006127524153045384
Exeggutor,Articuno,-0.016042840809058535
Exeggutor,Haunter,-0.0016496303533923846
Exeggutor,Voltorb,-0.0003592682768696923
Exeggutor,Starmie,0.07715145512738561
Exeggutor,Hypno,-0.010608834535658843
Exeggutor,Gastly,-0.0004997841384348461
Exeggutor,Marowak,-0.0052179827686969224
Exeggutor,Venusaur,-0.08491034210574376
Exeggutor,Alakazam,-0.04215218316135515
Exeggutor,Tentacruel,-0.004226637275134692
Exeggutor,Weezing,-0.0031862924299150774
Exeggutor,Clefable,-0.014063280029221073
Exeggutor,Dratini,0.00016588550817276944
Exeggutor,Golbat,-0.0012555303533923843
Exeggutor,Zapdos,0.0005842544151219289
Exeggutor,Poliwhirl,-0.00015498413843484613
Exeggutor,Drowzee,6.96634462606155e-05
Exeggutor,Gengar,-0.08064764688156335
Exeggutor,Jolteon,-0.045326788402885586
Exeggutor,Gyarados,-0.029736402164185913
Exeggutor,Staryu,-0.0006547682768696922
Exeggutor,Chansey,0.13915692475573016
Exeggutor,Blastoise,-0.04671222768696923
Exeggutor,Poliwrath,-0.011755264167655925
Exeggutor,Golduck,-0.00416430829148023
Exeggutor,empty,0.0
Exeggutor,Dugtrio,-0.007977571089398228
Exeggutor,Parasect,-0.0034265972605241534
Exeggutor,Kabutops,-0.002831780029221077
Exeggutor,Kadabra,-0.0017264779380878454
Exeggutor,Mr. Mime,-0.001972777938087846
Exeggutor,Lickitung,-0.0025351413843484613
Exeggutor,Onix,-0.006575730353392385
Exeggutor,Lapras,-0.04767494348461329
Exeggutor,Porygon,-0.003451866907131769
Exeggutor,Abra,-0.0003519841384348461
Exeggutor,Electrode,-0.004203143621587074
Exeggutor,Vaporeon,-0.01413666070678477
Exeggutor,Beedrill,-0.005114676568349923
Exeggutor,Flareon,-0.006006132444525614
Exeggutor,Kingler,-0.003692071737740846
Exeggutor,Golem,-0.025468779609168095
Exeggutor,Muk,-0.004994524153045383
Exeggutor,Cubone,-0.00015498413843484613
Exeggutor,Wartortle,-0.0009155365537393844
Exeggutor,Nidoking,-0.027886204903661768
Exeggutor,Electabuzz,-0.009828119322436307
Exeggutor,Farfetch'd,-0.0012471572459136152
Exeggutor,Gloom,-0.00037363655373938464
Exeggutor,Dragonair,0.0002584406629531549
Exeggutor,Machamp,-0.017605123504702766
Exeggutor,Raticate,-0.003175541384348461
Exeggutor,Weedle,-0.0003592682768696923
Exeggutor,Krabby,-8.532069217423071e-05
Exeggutor,Rapidash,-0.004614792429915077
Exeggutor,Slowpoke,2.764758469546161e-05
Exeggutor,Magmar,-0.00397692069217423
Exeggutor,Ivysaur,-0.0014357841384348463
Exeggutor,Raichu,-0.050333497333576845
Exeggutor,Tauros,0.17041578596475207
Exeggutor,Fearow,-0.001416509661218154
Exeggutor,Charmeleon,-0.0008097524153045382
Exeggutor,Persian,-0.020621913195141995
Exeggutor,Charmander,-0.0008170365537393845
Exeggutor,Pidgeot,-0.015655086950963387
Exeggutor,Slowbro,-0.018931863455392176
Exeggutor,Hitmonlee,-0.012874984859830152
Exeggutor,Kangaskhan,-0.0003529221349648434
Exeggutor,Magneton,-0.006194809661218154
Exeggutor,Nidoqueen,-0.012752604830609077
Exeggutor,Weepinbell,-0.00016216827686969224
Exeggutor,Seadra,-0.0018478193224363078
Exeggutor,Rhydon,-0.012493554159437486
Exeggutor,Omastar,-0.003199471737740845
Exeggutor,Arcanine,-0.02203346633184184
Exeggutor,Snorlax,0.07070877818464069
Exeggutor,Victreebel,-0.01388897108939823
Exeggutor,Butterfree,-0.007157268276869693
Exeggutor,Exeggcute,-0.00021865241530453838
Ninetales,Eevee,0.010002306976744186
Ninetales,Exeggutor,-0.201777596124031
Ninetales,Arbok,0.007260491472868217
Ninetales,Primeape,-0.002429431007751938
Ninetales,Ditto,0.043787750387596906
Ninetales,Tangela,0.010873375968992247
Ninetales,Dragonite,0.16732007286821704
Ninetales,Hitmonchan,0.015258729457364341
Ninetales,Vileplume,0.009247675968992246
Ninetales,Cloyster,-0.03027955116279071
Ninetales,Scyther,-0.003528862015503876
Ninetales,Aerodactyl,0.01762668992248062
Ninetales,Moltres,-0.007254724031007755
Ninetales,Jynx,-0.11822429302325581
Ninetales,Dewgong,0.007588506976744186
Ninetales,Ekans,0.0036296689922480623
Ninetales,Sandslash,0.04294919689922481
Ninetales,Vulpix,0.001494684496124031
Ninetales,Wigglytuff,-0.0026589465116279064
Ninetales,Dodrio,0.059474148837209306
Ninetales,Gengar,-0.14576045736434112
